animeID, request_cached, title, title_english, title_japanese, title_synonyms, image_url, type, source, episodes, status, airing, aired, duration, rating, score, scored_by, rank, popularity, members, favorites, background, premiered, broadcast, related, producer, licensor, studio, genre, opening_theme, ending_theme
62,True,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,[],https://cdn.myanimelist.net/images/anime/4/73936.jpg,TV,Visual novel,26,Finished Airing,False,"{'from': '2003-07-05T00:00:00+00:00', 'to': '2003-12-27T00:00:00+00:00', 'prop': {'from': {'day': 5, 'month': 7, 'year': 2003}, 'to': {'day': 27, 'month': 12, 'year': 2003}}, 'string': 'Jul 5, 2003 to Dec 27, 2003'}",24 min per ep,PG-13 - Teens 13 or older,6.79,26440,4442,1777,65720,187,None,Summer 2003,Saturdays at Unknown,"{'Adaptation': [{'mal_id': 3052, 'type': 'manga', 'name': 'Da Capo', 'url': 'https://myanimelist.net/manga/3052/Da_Capo'}], 'Sequel': [{'mal_id': 291, 'type': 'anime', 'name': 'D.C.S.S: Da Capo Second Season', 'url': 'https://myanimelist.net/anime/291/DCSS__Da_Capo_Second_Season'}], 'Alternative setting': [{'mal_id': 5216, 'type': 'anime', 'name': 'D.C.if: Da Capo if', 'url': 'https://myanimelist.net/anime/5216/DCif__Da_Capo_if'}, {'mal_id': 9393, 'type': 'anime', 'name': 'T.P. Sakura: Time Paladin Sakura', 'url': 'https://myanimelist.net/anime/9393/TP_Sakura__Time_Paladin_Sakura'}], 'Other': [{'mal_id': 9353, 'type': 'anime', 'name': 'D.C. I&II P.S.P. Re-Animated', 'url': 'https://myanimelist.net/anime/9353/DC_I_II_PSP_Re-Animated'}]}","[{'mal_id': 104, 'type': 'anime', 'name': 'Lantis', 'url': 'https://myanimelist.net/anime/producer/104/Lantis'}, {'mal_id': 1344, 'type': 'anime', 'name': 'King Records', 'url': 'https://myanimelist.net/anime/producer/1344/King_Records'}]",[],"[{'mal_id': 91, 'type': 'anime', 'name': 'feel.', 'url': 'https://myanimelist.net/anime/producer/91/feel'}, {'mal_id': 218, 'type': 'anime', 'name': 'Zexcs', 'url': 'https://myanimelist.net/anime/producer/218/Zexcs'}]","[{'mal_id': 35, 'type': 'anime', 'name': 'Harem', 'url': 'https://myanimelist.net/anime/genre/35/Harem'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 16, 'type': 'anime', 'name': 'Magic', 'url': 'https://myanimelist.net/anime/genre/16/Magic'}, {'mal_id': 22, 'type': 'anime', 'name': 'Romance', 'url': 'https://myanimelist.net/anime/genre/22/Romance'}]","['#1: ""Sakura saku mirai koiyume"" by Yozuca (eps 1-25)', '#2: ""Sonzai"" by CooRie (ep 26)']","['#1: ""Mirai he no Melody"" by CooRie (eps 1-7,9-14,16-20)', '#2: ""Utamaru Ekaki Uta"" by Haruko Momoi (eps 8,15)', '#3: ""Sonzai"" by CooRie (eps 21-25)', '#4: ""Sakura saku mirai koiyume"" by Yozuca (ep 26)']"
219,True,Kidou Senkan Nadesico: The Prince of Darkness,Martian Successor Nadesico: The Prince of Darkness,機動戦艦ナデシコ The prince of darkness,['Nadesico Movie'],https://cdn.myanimelist.net/images/anime/10/51253.jpg,Movie,Original,1,Finished Airing,False,"{'from': '1998-08-01T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 1, 'month': 8, 'year': 1998}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Aug 1, 1998'}",1 hr 19 min,R - 17+ (violence & profanity),6.77,6981,4537,4224,13093,32,None,,,"{'Prequel': [{'mal_id': 218, 'type': 'anime', 'name': 'Kidou Senkan Nadesico', 'url': 'https://myanimelist.net/anime/218/Kidou_Senkan_Nadesico'}]}","[{'mal_id': 16, 'type': 'anime', 'name': 'TV Tokyo', 'url': 'https://myanimelist.net/anime/producer/16/TV_Tokyo'}, {'mal_id': 92, 'type': 'anime', 'name': 'Starchild Records', 'url': 'https://myanimelist.net/anime/producer/92/Starchild_Records'}, {'mal_id': 113, 'type': 'anime', 'name': 'Kadokawa Shoten', 'url': 'https://myanimelist.net/anime/producer/113/Kadokawa_Shoten'}, {'mal_id': 141, 'type': 'anime', 'name': 'Toei Video', 'url': 'https://myanimelist.net/anime/producer/141/Toei_Video'}, {'mal_id': 166, 'type': 'anime', 'name': 'Movic', 'url': 'https://myanimelist.net/anime/producer/166/Movic'}, {'mal_id': 167, 'type': 'anime', 'name': 'Sega', 'url': 'https://myanimelist.net/anime/producer/167/Sega'}, {'mal_id': 1344, 'type': 'anime', 'name': 'King Records', 'url': 'https://myanimelist.net/anime/producer/1344/King_Records'}, {'mal_id': 1461, 'type': 'anime', 'name': 'Audio Tanaka', 'url': 'https://myanimelist.net/anime/producer/1461/Audio_Tanaka'}]","[{'mal_id': 97, 'type': 'anime', 'name': 'ADV Films', 'url': 'https://myanimelist.net/anime/producer/97/ADV_Films'}, {'mal_id': 217, 'type': 'anime', 'name': 'Nozomi Entertainment', 'url': 'https://myanimelist.net/anime/producer/217/Nozomi_Entertainment'}]","[{'mal_id': 27, 'type': 'anime', 'name': 'Xebec', 'url': 'https://myanimelist.net/anime/producer/27/Xebec'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 18, 'type': 'anime', 'name': 'Mecha', 'url': 'https://myanimelist.net/anime/genre/18/Mecha'}, {'mal_id': 40, 'type': 'anime', 'name': 'Psychological', 'url': 'https://myanimelist.net/anime/genre/40/Psychological'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}, {'mal_id': 27, 'type': 'anime', 'name': 'Shounen', 'url': 'https://myanimelist.net/anime/genre/27/Shounen'}, {'mal_id': 29, 'type': 'anime', 'name': 'Space', 'url': 'https://myanimelist.net/anime/genre/29/Space'}]",[],"['""Dearest"" by Yumi Matsuzawa']"
594,True,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Naruto: The Lost Story - Mission: Protect the Waterfall Village,滝隠れの死闘　オレが英雄だってばよ!,"['Battle at Hidden Falls. I am the Hero!', 'Naruto OVA 2', 'Naruto: Jump Festa 2004']",https://cdn.myanimelist.net/images/anime/11/20921.jpg,Special,Manga,1,Finished Airing,False,"{'from': '2003-12-20T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 20, 'month': 12, 'year': 2003}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Dec 20, 2003'}",40 min,PG-13 - Teens 13 or older,6.77,40789,4546,1694,70960,275,None,,,"{'Adaptation': [{'mal_id': 57095, 'type': 'manga', 'name': 'Naruto: Takigakure no Shitou Ore ga Hero dattebayo!', 'url': 'https://myanimelist.net/manga/57095/Naruto__Takigakure_no_Shitou_Ore_ga_Hero_dattebayo'}], 'Parent story': [{'mal_id': 20, 'type': 'anime', 'name': 'Naruto', 'url': 'https://myanimelist.net/anime/20/Naruto'}]}",[],"[{'mal_id': 119, 'type': 'anime', 'name': 'Viz Media', 'url': 'https://myanimelist.net/anime/producer/119/Viz_Media'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Studio Pierrot', 'url': 'https://myanimelist.net/anime/producer/1/Studio_Pierrot'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 27, 'type': 'anime', 'name': 'Shounen', 'url': 'https://myanimelist.net/anime/genre/27/Shounen'}, {'mal_id': 31, 'type': 'anime', 'name': 'Super Power', 'url': 'https://myanimelist.net/anime/genre/31/Super_Power'}]","['""Rise"" by Jeremy Sweet & Ian Nickus (English Version)']","['""Naruto Main Theme"" by Toshiro Masuda']"
1157,True,Final Fantasy: Unlimited,,ファイナルファンタジー：アンリミテッド,[],https://cdn.myanimelist.net/images/anime/9/20919.jpg,TV,Game,25,Finished Airing,False,"{'from': '2001-10-02T00:00:00+00:00', 'to': '2002-03-26T00:00:00+00:00', 'prop': {'from': {'day': 2, 'month': 10, 'year': 2001}, 'to': {'day': 26, 'month': 3, 'year': 2002}}, 'string': 'Oct 2, 2001 to Mar 26, 2002'}",24 min per ep,PG-13 - Teens 13 or older,6.21,13272,7158,2773,31718,91,None,Fall 2001,Tuesdays at 18:30 (JST),{},"[{'mal_id': 16, 'type': 'anime', 'name': 'TV Tokyo', 'url': 'https://myanimelist.net/anime/producer/16/TV_Tokyo'}, {'mal_id': 53, 'type': 'anime', 'name': 'Dentsu', 'url': 'https://myanimelist.net/anime/producer/53/Dentsu'}, {'mal_id': 717, 'type': 'anime', 'name': 'TV Tokyo Music', 'url': 'https://myanimelist.net/anime/producer/717/TV_Tokyo_Music'}]","[{'mal_id': 97, 'type': 'anime', 'name': 'ADV Films', 'url': 'https://myanimelist.net/anime/producer/97/ADV_Films'}]","[{'mal_id': 3, 'type': 'anime', 'name': 'Gonzo', 'url': 'https://myanimelist.net/anime/producer/3/Gonzo'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 10, 'type': 'anime', 'name': 'Fantasy', 'url': 'https://myanimelist.net/anime/genre/10/Fantasy'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}, {'mal_id': 27, 'type': 'anime', 'name': 'Shounen', 'url': 'https://myanimelist.net/anime/genre/27/Shounen'}]","['""Over the Fantasy"" by Kana Ueda']","['#1: ""VIVID"" by Fairy Fore (eps 1-13)', '#2: ""Romancing Train"" by Move (eps 14-25)']"
6989,False,Uchuu Ace,Space Ace,宇宙エース,"['Uchu Ace', 'Uchuu Eesu', 'Uchu Esu']",https://cdn.myanimelist.net/images/anime/2/83908.jpg,TV,Unknown,52,Finished Airing,False,"{'from': '1965-05-08T00:00:00+00:00', 'to': '1966-04-28T00:00:00+00:00', 'prop': {'from': {'day': 8, 'month': 5, 'year': 1965}, 'to': {'day': 28, 'month': 4, 'year': 1966}}, 'string': 'May 8, 1965 to Apr 28, 1966'}",25 min per ep,G - All Ages,,,12303,11965,462,2,None,Spring 1965,Unknown,"{'Alternative version': [{'mal_id': 42339, 'type': 'anime', 'name': 'Uchuu Ace Pilots', 'url': 'https://myanimelist.net/anime/42339/Uchuu_Ace_Pilots'}]}",[],[],"[{'mal_id': 103, 'type': 'anime', 'name': 'Tatsunoko Production', 'url': 'https://myanimelist.net/anime/producer/103/Tatsunoko_Production'}]","[{'mal_id': 1, 'type': 'anime', 'name': 'Action', 'url': 'https://myanimelist.net/anime/genre/1/Action'}, {'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]","['""Hoshi no Honoo ni (星の炎に)"" by Misuzu Jidou Gasshoudan, Tokyo Konsei Gasshoudan']",[]
6992,False,Hoshi ni Negai wo: Fantastic Cat,,星に願いを Fantastic Cat,[],https://cdn.myanimelist.net/images/anime/13/67063.jpg,ONA,Unknown,1,Finished Airing,False,"{'from': '2009-08-03T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 3, 'month': 8, 'year': 2009}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Aug 3, 2009'}",39 min,PG-13 - Teens 13 or older,6.13,659,7517,9152,1577,0,None,,,"{'Prequel': [{'mal_id': 7230, 'type': 'anime', 'name': 'Hoshi ni Negai wo: Cold Body + Warm Heart', 'url': 'https://myanimelist.net/anime/7230/Hoshi_ni_Negai_wo__Cold_Body___Warm_Heart'}]}",[],[],[],"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 24, 'type': 'anime', 'name': 'Sci-Fi', 'url': 'https://myanimelist.net/anime/genre/24/Sci-Fi'}]",[],"['""Hoshi no Kodomo-tachi"" by Masumi Itou']"
6993,False,Koneko no Rakugaki,,こねこのらくがき,"[""Kitten's Scribbling"", ""Kitty's Graffiti""]",https://cdn.myanimelist.net/images/anime/8/16449.jpg,Movie,Original,1,Finished Airing,False,"{'from': '1957-05-13T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 13, 'month': 5, 'year': 1957}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'May 13, 1957'}",13 min,G - All Ages,5.82,694,8585,9601,1309,0,None,,,"{'Sequel': [{'mal_id': 6994, 'type': 'anime', 'name': 'Koneko no Studio', 'url': 'https://myanimelist.net/anime/6994/Koneko_no_Studio'}]}",[],[],"[{'mal_id': 18, 'type': 'anime', 'name': 'Toei Animation', 'url': 'https://myanimelist.net/anime/producer/18/Toei_Animation'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]",[],[]
6994,False,Koneko no Studio,Kitty's Studio,こねこのスタジオ,"[""Kitten's Studio""]",https://cdn.myanimelist.net/images/anime/3/16902.jpg,Movie,Original,1,Finished Airing,False,"{'from': '1959-04-09T00:00:00+00:00', 'to': None, 'prop': {'from': {'day': 9, 'month': 4, 'year': 1959}, 'to': {'day': None, 'month': None, 'year': None}}, 'string': 'Apr 9, 1959'}",16 min,G - All Ages,6.05,453,7878,10158,1006,1,None,,,"{'Prequel': [{'mal_id': 6993, 'type': 'anime', 'name': 'Koneko no Rakugaki', 'url': 'https://myanimelist.net/anime/6993/Koneko_no_Rakugaki'}]}",[],[],"[{'mal_id': 18, 'type': 'anime', 'name': 'Toei Animation', 'url': 'https://myanimelist.net/anime/producer/18/Toei_Animation'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]",[],[]
6999,True,Tennis no Ouji-sama: Another Story - Kako to Mirai no Message Specials,Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus,テニスの王子様　OVA ANOTHER STORY ～過去と未来のメッセージ,"['Tennis no Ouji-sama OVA Another Story: Messages From Past and Future', 'Oshitari on a Certain Day', 'Aru Hi no Oshitari']",https://cdn.myanimelist.net/images/anime/8/16345.jpg,Special,Unknown,2,Finished Airing,False,"{'from': '2009-05-26T00:00:00+00:00', 'to': '2009-09-25T00:00:00+00:00', 'prop': {'from': {'day': 26, 'month': 5, 'year': 2009}, 'to': {'day': 25, 'month': 9, 'year': 2009}}, 'string': 'May 26, 2009 to Sep 25, 2009'}",3 min per ep,PG-13 - Teens 13 or older,7.15,2284,2950,5990,5518,14,None,,,"{'Parent story': [{'mal_id': 5751, 'type': 'anime', 'name': 'Tennis no Ouji-sama: Another Story - Kako to Mirai no Message', 'url': 'https://myanimelist.net/anime/5751/Tennis_no_Ouji-sama__Another_Story_-_Kako_to_Mirai_no_Message'}]}","[{'mal_id': 463, 'type': 'anime', 'name': 'M.S.C', 'url': 'https://myanimelist.net/anime/producer/463/MSC'}]",[],[],"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",[],[]
7004,True,Shin Calimero,Calimero (1992),新 カリメロ,[],https://cdn.myanimelist.net/images/anime/12/61017.jpg,TV,Unknown,52,Finished Airing,False,"{'from': '1992-10-15T00:00:00+00:00', 'to': '1993-09-09T00:00:00+00:00', 'prop': {'from': {'day': 15, 'month': 10, 'year': 1992}, 'to': {'day': 9, 'month': 9, 'year': 1993}}, 'string': 'Oct 15, 1992 to Sep 9, 1993'}",21 min per ep,G - All Ages,6.21,742,7131,9024,1663,1,None,Fall 1992,Thursdays at 19:00 (JST),"{'Prequel': [{'mal_id': 2827, 'type': 'anime', 'name': 'Calimero', 'url': 'https://myanimelist.net/anime/2827/Calimero'}]}",[],[],"[{'mal_id': 18, 'type': 'anime', 'name': 'Toei Animation', 'url': 'https://myanimelist.net/anime/producer/18/Toei_Animation'}]","[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}]",[],[]
